Time,TFS-EE-226-BU-1_SUC-P.PV,TFS-EE-226-BU-2_SUC-P.PV,TFS-EE-226-BU-1_DISCH-P.PV,TFS-EE-226-BU-2_DISCH-P.PV,TFS-EE-176-MB_FC-HDR-DEN-OBS.PV,TFS-EE-176-MB_FC2-HDR-T.PV,TFS-EE-176-MB_FC2-HDR-GSF.PV,TFS-EE-176-MTR_OUT-P.PV,MLN-EE-76-U-1_SUC-P.PV,MLN-EE-76-U-2_SUC-P.PV,MLN-EE-76-U-1_CAS-P.PV,MLN-EE-76-U-2_CAS-P.PV,MLN-EE-76_DISCH-P.SP,MLN-EE-76_DISCH-P-CTRL.PV,MLN-EE-76_T.PV,MLN-EE-76_FLW.PV,TFS-EE-176-MB_FC-HDR-DEN-COR.PV,TFS-EE-176-MB_FC-HDR-T.PV,MLN-IZ-76_HLD-P.SP,MLN-IZ-76_HLD-P-CTRL.PV,MLN-EE-76-PCV_POS.PV,TFS-EE-209-V-1523_VLV.ST
2022-08-30 00:01:03,58.57773209,58.44754791,59.20412064,661.9161987,689.0,11.74552727,103,638.4351807,-6.172944069,619.8946533,-17.25891876,7097.316895,3000,2993.81665,16.7486763,103.7596741,686.4967651,11.77034569,1250,1253.87854,28.63105392,CLOSED
2022-08-30 00:01:04,58.57972717,58.4500351,59.20360947,661.9108276,689.0,11.74682522,103,638.50354,-6.168119431,619.8560791,-17.27052879,7097.268555,3000,2993.844238,16.74985123,103.7833252,686.4994507,11.77053452,1250,1253.85022,28.63395119,CLOSED
2022-08-30 00:01:05,58.58172607,58.45251846,59.22389984,661.9717407,689.0,11.74812317,103,638.5233765,-6.168653965,619.914917,-17.28214073,7097.119141,3000,2993.871826,16.75098801,103.7883682,686.496582,11.77072334,1250,1253.975952,28.63295555,CLOSED
2022-08-30 00:01:06,58.58372116,58.45500183,59.24419022,662.0325928,689.0,11.74942112,103,638.5432129,-6.175095081,620.0812988,-17.29375076,7096.858887,3000,2993.899658,16.75208092,103.7730484,686.4936523,11.77091217,1250,1254.256714,28.62770081,CLOSED
2022-08-30 00:01:07,58.58571625,58.45748901,59.26448059,662.0934448,689.0,11.75071907,103,638.5631104,-6.181536198,620.2476807,-17.30536079,7096.598145,3000,2993.927246,16.75317574,103.7577209,686.4907227,11.77110004,1250,1254.219482,28.62244797,CLOSED
2022-08-30 00:01:08,58.58771515,58.45997238,59.28477097,662.1542969,689.0,11.75201702,103,638.5829468,-6.187977314,620.1784058,-17.31697273,7096.629395,3000,2993.876465,16.75152969,103.6614151,686.487854,11.77128887,1250,1254.182373,28.62615585,CLOSED
2022-08-30 00:01:09,58.58971024,58.46245575,59.30461884,662.0054321,689.0,11.75331497,103,638.6080933,-6.19441843,620.0317383,-17.32858276,7096.755859,3000,2993.799805,16.74898338,103.5387268,686.4849243,11.7714777,1250,1254.145142,28.63278008,CLOSED
2022-08-30 00:01:10,58.59170532,58.46494293,59.32312775,662.0431519,689.0,11.75461292,103,638.6647339,-6.200859547,619.8850708,-17.3401947,7096.882813,3000,2993.723389,16.74643517,103.4160461,686.4820557,11.77166653,1250,1254.1073,28.63940239,CLOSED
2022-08-30 00:01:11,58.59370422,58.4674263,59.34163666,662.0809326,689.0,11.75591087,103,638.7213745,-6.207300663,619.7371826,-17.35180473,7097.014648,3000,2993.656494,16.74388885,103.2938156,686.479126,11.7718544,1250,1254.067993,28.6460247,CLOSED
2022-08-30 00:01:12,58.59569931,58.46990967,59.36014557,662.1187134,689.0,11.75720787,103,638.7780151,-6.21295166,619.5466309,-17.36341476,7097.329102,3000,2994.212158,16.74164581,103.2082748,686.4761963,11.77204323,1250,1254.028687,28.65128136,CLOSED
2022-08-30 00:01:13,58.59769821,58.47239685,59.37865448,662.1564331,689.0,11.75850582,103,638.8346558,-6.208514214,619.8329468,-17.3750267,7095.285156,3000,2994.10498,16.74331093,103.1644287,686.4733276,11.77223206,1250,1253.989502,28.63965034,CLOSED
2022-08-30 00:01:14,58.5996933,58.47488022,59.39716721,662.1942139,689.0,11.75980377,103,638.8912964,-6.204076767,620.1193237,-17.38663673,7093.241699,3000,2993.997559,16.74497414,103.1205902,686.4703979,11.77242088,1250,1253.950195,28.62801933,CLOSED
2022-08-30 00:01:15,58.5819397,58.47736359,59.38194656,662.1884155,689.0,11.75638008,103,638.791748,-6.199639797,620.2241821,-17.39824867,7092.536621,3000,2993.977295,16.74663925,103.1452408,686.4718018,11.77260876,1250,1253.911987,28.62693405,CLOSED
2022-08-30 00:01:16,58.56061935,58.47984695,59.36062241,662.1747437,689.0,11.75211525,103,638.6638184,-6.195202351,620.0657349,-17.4098587,7093.760742,3000,2994.083008,16.74830246,103.2684708,686.473938,11.77279758,1250,1253.874878,28.64101791,CLOSED
2022-08-30 00:01:17,58.5392952,58.48233414,59.33929825,662.1610718,689.0,11.74785042,103,638.5358887,-6.190764904,619.9072876,-17.42146873,7094.984863,3000,2994.188477,16.74996758,103.3917007,686.4760742,11.77298641,1250,1253.837769,28.65510178,CLOSED
2022-08-30 00:01:18,58.51797104,58.4848175,59.31797409,662.1473999,689.0,11.74358559,103,638.407959,-6.185452461,620.0011597,-17.36864281,7093.662598,3000,2994.1521,16.74947357,103.3927917,686.4782104,11.77317524,1250,1253.800659,28.65250206,CLOSED
2022-08-30 00:01:19,58.50298309,58.48730087,59.30297852,662.133728,689.0,11.7406044,103,638.3059082,-6.179764748,620.2034302,-17.28833961,7091.253418,3000,2994.055176,16.74805069,103.3418732,686.4796753,11.77336311,1250,1253.763672,28.6428051,CLOSED
2022-08-30 00:01:20,58.52196884,58.48978806,59.32196426,662.1200562,689.0,11.74440098,103,638.3438721,-6.174076557,620.4057007,-17.20803642,7088.844238,3000,2993.958008,16.74662781,103.2909546,686.4777832,11.77355194,1250,1253.765625,28.63310623,CLOSED
2022-08-30 00:01:21,58.54095078,58.49227142,59.34095001,662.1063843,689.0,11.74819851,103,638.381897,-6.168388367,620.2971802,-17.47490311,7090.397949,3000,2993.588135,16.74520683,103.1873932,686.4758911,11.77374077,1250,1253.853271,28.63502502,CLOSED
2022-08-30 00:01:22,58.55993652,58.49475479,59.35993576,662.0927124,689.0,11.75199509,103,638.4198608,-6.167823315,620.1379395,-17.58263397,7091.825195,3000,2993.425781,16.74394798,103.1448288,686.473999,11.7739296,1250,1253.940918,28.64023781,CLOSED
2022-08-30 00:01:23,58.57892227,58.49724197,59.37892151,662.0790405,689.0,11.75579262,103,638.4578247,-6.17222023,620.0285645,-17.42748451,7091.876953,3000,2993.550781,16.74284935,103.1776352,686.4720459,11.77411747,1250,1254.028564,28.64492607,CLOSED
2022-08-30 00:01:24,58.59790421,58.49972534,59.39790726,662.0653687,689.0,11.75959015,103,638.4957886,-6.176616669,619.9191895,-17.27233505,7091.928223,3000,2993.675781,16.74175072,103.2104492,686.4701538,11.7743063,1250,1254.116211,28.64961243,CLOSED
